"概要","説明","開催期間","開催地","目的","エリア","詳細URL"
"こども茶道体験","岡公園茶室で行われる和歌山城市民茶会と同日開催。小学生を対象とした、日本の伝統文化「茶道」の体験会が行われます。「茶道」の稽古や話を通して美しい礼儀作法などを学…","10月22日（土）、23日（日）※荒天中止","和歌山城紅葉渓庭園内紅松庵","遊び・体験 / 食べる","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11077"
"ARCADE","僕らの理想の街を作ろう”をコンセプトに、海南駅の目の前に突然現れるスタイリッシュなアーケード街で行われる新感覚の屋外マーケットイベントです。","10月22日（土）、23日（日）","JR海南駅前西側広場","遊び・体験 / 食べる","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11078"
"学文路天満宮　秋祭り","農民にとって収穫とは自然災害や害虫被害などを乗り超えてはじめて得られる大きな喜びです。作物が実る秋は、務めを終えた神さまが山にお帰りになるので感謝の祭祀を行いま…","10月22日（土）　宵宮、23日（日）本宮","学文路天満宮","観る","橋本市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11079"
"ゆあさオータムフェス","醤油発祥の地といわれる湯浅の歴史的な町並みで、音楽会、アート展、体験教室、ワークショプ等のイベントが開催されます。","10月22日（土）、23日（日）","湯浅伝建地区","遊び・体験 / 遊び・体験","湯浅町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11080"
"第16回和歌浦ベイマラソンwithジャズ","日本初のミュージックマラソンとしてスタートし、JAZZマラソンの愛称で親しまれています。ジャズ演奏を聴きながら万葉の美しい景色の中を走り抜けます。沿道には多くの…","10月23日（日）","和歌山港～和歌山マリーナシティ","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11081"
"高津子山を桜の山に","「高津子山を桜の山に」をスローガンに、山の整備と清掃を行います。※ご協力いただけるボランティアを募っています。わずかな時間の参加でも大歓迎！午前、午後共に参加し…","10月23日（日）※小雨決行・雨天中止","（集合場所）新和歌浦元ロープーウェイ発着所","遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11082"
"熊野古道わくわくハイク（熊野古道＆国宝・歴史探訪コース）","語り部と一緒に歩く熊野古道ハイキングイベント。今回は、熊野古道の散策と合わせて、善福院や長保寺といった国宝巡りも行う、多様な時代の歴史を紐解くコースとなっており…","10月23日（日）","熊野古道（紀伊路）JR加茂郷駅～JR下津駅","遊び・体験 / 観る","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11083"
"官省符まつり","この祭は、年催物に趣向をこらたお祭りです。舞の奉納・社中の踊り・大もち投げ（15時～）などがあり、その後みこしのお渡りが行われます。神社を出発した行列は、紀の川…","10月23日（日）","丹生官省符神社","観る","九度山町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11084"
"世界遺産シンポジウム「祈りと共生の世界遺産」","世界遺産追加登録を願って、岡野玲子氏（漫画「陰陽師」作者）をお迎えし、記念講演とパネルディスカッションを行います。","10月23日（日）","かつらぎ総合文化会館大ホール","観る","かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11085"
"第14回紀州湯浅のギョギョッとお魚まつり","良好な漁場に恵まれ、豊富な水揚げ量を誇る湯浅港で開催されるまつり。湯浅のお魚が食べられるグルメコーナー、特産物コーナー、鮮魚コーナー、移動水族館によるお魚ふれあ…","10月23日（日）","湯浅湾漁業協同組合周辺","遊び・体験 / 食べる","湯浅町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11086"
"吉田祭","吉田八幡神社は江戸時代にまとめられた書物「紀伊続風土記」に記述された由緒ある古い神社です。吉田祭は吉田八幡神社の例大祭です。","10月23日(日)","吉田八幡神社","観る","御坊市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11087"
"宮子姫時代行列","前夜祭では、九海士王子・吉田八幡神社・道成寺といった、宮子姫ゆかりの史跡をむすぶ熊野古道を提灯でライトアップします。当日は、メイン行事として宮子姫や女官たちによ…","10月23日(日)","道成寺～吉田八幡神社","観る","御坊市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11088"
"由良祭本祭","宇佐八幡神社で行われる秋祭りです。奉納される獅子舞は、笛・太鼓・締太鼓・ちゃみせんにあわせた特徴のあるもので、町内６地区がそれぞれ獅子舞を奉納します。なかでも、…","10月23日(日)","由良町里・阿戸地内","観る","由良町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11089"
"高城天宝神社の秋祭り","天狗のような面を被った「オニ」と獅子舞の奉納がみどころ。子供御輿もおこなわれ、高城(たかぎ)地区の人々に親しまれています。","10月23日(日)","高城天宝神社","観る","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11090"
"吉野熊野国立公園 拡張＆海域公園地区指定記念　秋のひき岩群を歩こう","ひき岩群周辺を散策します。筆記用具、採集用具（植物・昆虫）、ビニール袋をご用意ください。服装は長ズボン、長袖、帽子、水筒等。小学生は保護者同伴で参加下さい。","10月23日（日）","ひき岩群周辺【集合場所】ふるさと自然公園センター","遊び・体験 / 遊び・体験","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11091"
"あげいん熊野詣","平安期の上皇ら貴族達の熊野御幸行列を再現した平安絵巻イベント。約200名が時代衣装をまとい、大門坂から熊野古道を経て、熊野那智大社、青岸渡寺、那智の滝まで歩きま…","10月23日(日）","那智山周辺（熊野古道・大門坂～熊野那智大社～那智山青岸渡寺～三重の塔）","遊び・体験","那智勝浦町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11092"
"港の朝市","毎月第4日曜日に開催される港の朝市。新鮮な魚が購入できると言う事で、地元の人を中心に、多くの人で賑わっています。約1時間で売り切れることも。早いめにお越しくださ…","10月23日（日）11月27日（日","御坊市塩屋漁港","お土産・逸品 / 食べる","御坊市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11093"
"カリスマ添乗員　平田進也さんと行く　吉宗公ゆかりの地めぐり","徳川吉宗公将軍就任300年記念事業の一環として、テレビ等で人気のカリスマ添乗員　平田進也氏と吉宗公ゆかりの地等を巡るウォーキングイベントを開催します。","10月26日(水）","和歌山城周辺","観る / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11094"
"第4回しみず保田紙行灯アート展","約350年の歴史をもつ伝統工芸品、“保田紙”を用いた手作り行灯を全国から募集。応募作品を一同に展示します。会場周辺は保田紙が灯す柔らかな光に包まれます。幻想的な…","10月26日（水）、30日（日）","体験交流工房わらし周辺","観る / 遊び・体験","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11095"
"まちなか歩行者天国『わかやま街歩コ（まちぽこ）』","本町通りを歩行者天国にして、地場産品の販売やＰＲするブース、ワークショップブースの設置や、ハロウィンにちなんだ仮装やステージイベント等の実施など、まちなかを盛り…","10月29日（土）","本町通り周辺","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11096"
"第7回　HAPPY　HALLOWEEN","今年7回目を迎えるハロウィンイベント。ぶらくり丁商店街を舞台にした毎年好評の「キャンディーラリー」をはじめ、親子対象の体験型ワークショップ、「仮装コンテスト｣や…","10月29日（土）","ぶらくり丁","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11097"
"和歌山城　吉宗公と妖怪たち　冥土カフェ","怪しげな音楽イベントや妖怪コスプレ大会、妖怪にちなんだ手作り作品の販売等が行われます。和歌山にまつわる妖怪が夜の和歌山城に集結！妖怪たちも吉宗の将軍就任３００年…","10月29日（土）","西の丸広場","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11098"
"紀の川柿収穫と吊るし柿作り体験","柿にまつわる楽しい話を聞きながら、紀の川柿の収穫と吊るし柿作りを行います。収穫した紀の川柿と、手作りした吊るし柿はお持ち帰りいただけます。主催：","10月29日（土）","集合場所：ふうの丘体験会場：中谷農園・林ヶ峰農業管理施設","","紀の川市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11099"
"全国伝統職人サミット　in 高野山","大工、建具、木彫刻、金箔、仏師、屋根葺きなど、伝統建築には欠かせない職人が集い、作品展示や技の披露をするイベント。","10月29日（土）、30日（日）","金剛峯寺別殿","観る","高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11100"
"ゆあさ愛・あいまつり","文化祭、人権啓発、健康相談、バザーなど様々な催し物が行われます。各イベントの詳細については、問い合わせ先まで。","10月29日（土）、30日（日）","湯浅スポーツセンター","遊び・体験","湯浅町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11101"
"ようおこしなして青洲まつり2016","世界で初めて全身麻酔による乳がん摘出手術を成功させた医聖　華岡青洲の偉業を後世に伝えるまつりです。江戸時代後期の嫁入りの風景を再現した「青洲時代行列」（旧名手宿…","10月30日（日）","道の駅青洲の里","遊び・体験 / 観る","紀の川市","https://www.wakayama-kanko.or.jp/event/detail.php?id=11102"
"清川天宝神社の秋祭り","このお祭りで奉納される「名之内の獅子舞」は県指定無形民俗文化財に指定されており、毎年、見事な舞いを披露してくれます。この獅子舞は、伊勢大神楽の系統を受け継ぐもの…","10月30日（日）","清川天宝神社","観る","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11103"
"みなべウォーク「清川の里山と天宝神社秋祭」","清川天宝神社秋祭りに合わせ、清川地区を観光ガイドと一緒に歩きます。","10月30日（日）","清川天宝神社他","観る / 遊び・体験","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=11104"
"和歌山市四季百景キャンペーン「食百膳和歌山市」","四季百景キャンペーンの秋のテーマは「グルメ」。和歌山市グルメイベント情報、和歌山ゆかりの著名人がオススメする｢ラーメン＆スイーツ｣、紀州徳川家や吉宗公が残した功…","実施中～11月30日（水）","和歌山市内各施設","観る / 食べる","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10960"
"くどやま芸術祭","まちなかエリア（真田庵周辺）を中心に、空き家や既存店の空きスペースなどを活用し、現代アートを展示します。まちなかの各所や歴史遺産を巡りつつ、そこにある現代アート…","実施中～10月2日（日）","まちなかエリア世界遺産エリア","観る","九度山町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10964"
"鷲ヶ峰コスモスパークの秋桜","標高586mの鷲ヶ峰の山頂に100万本のコスモスが咲き乱れます。天気のいい日には遠く淡路島、四国まで見渡せる絶景ポイント。※「風の館」開館予定日は有田川町ＨＰで…","実施中～10月中旬","鷲ヶ峰コスモスパーク","観る / 遊び・体験","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10968"
"生石高原のススキ","標高870mの生石高原は、360度の眺望と四季おりおりの草花に彩られ、特に秋はススキの名所。銀世界が一面に広がります。ハイキングなどで関西一円から訪れる人も多い…","実施中～11月中旬","生石高原","観る / 遊び・体験","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10969"
"鮎網入れ (二川ダム上流域)","清流「有田川」の（二川ダムからかつらぎ町花園までの上流域）鮎網入れの解禁。詳しいことは有田川漁協ＨＰでご確認ください。","実施中～12月31日（土）","有田川町内各地","遊び・体験","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10970"
"栗拾い","入園料：中学生以上500円、幼稚園児・小学生300円　＊要予約","実施中～10月8日（土）","かつらぎ町内各所","遊び・体験 / お土産・逸品","かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10965"
"丹生都比売神社本殿特別拝観と由緒説明","普段は楼門前からの拝観となる本殿を間近にご覧いただきながら、神職が由緒説明をいたします。","実施中～11月27日（日）　＊土・日・祝","丹生都比売神社","世界遺産 / 観る","かつらぎ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10966"
"和歌山城下・まちなか河岸　にぎわい横丁","和歌山市民の台所であった納屋河岸（和歌山市京橋）周辺で当時の賑わいを再現し、和歌山の特産品や老舗の味を楽しめるイベントを開催します。徳川吉宗公が8代将軍に就任3…","実施中～10月2日（日）","和歌山市営京橋駐車場周辺","観る / 食べる","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10962"
"市堀川イルミネーション","京橋プロムナード周辺や市堀川両岸が、約5万球のイルミネーションで照らされます。昼と違う雰囲気のまちなかを楽むことができます。","実施中～2017年2月14（火）予定","市堀川（京橋～中橋）","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10961"
"第30回弁慶まつり","熊野水軍出陣を再現した演劇「弁慶伝説」、市内を約1，000人で踊る弁慶ゲタ踊り、約45チームのよさこい踊りで飾ります。","実施中～10月1日(土)","闘?神社・市内各所","観る / 遊び・体験","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10974"
"和歌山城天守閣　夏のコーナー展示「吉宗、将軍就任への道」","吉宗と和歌山のつながりを確認し、改革の原動力が和歌山で育まれたことを本展示を通じて紹介します。　　　　　　　　　　　　　　　　　　　　　","実施中～10月4日（火）","和歌山城天守閣多門展示コーナー","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10959"
"和紙で描く”四季”ちぎり絵展","ちぎり絵の魅力満載の作品（約25点）を展示します。","実施中～10月11日（火）","片男波公園万葉館","観る / 遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10958"
"能ワークショップ","能の基本所作と謡い・仕舞を楽しく稽古します。7月から10月の期間で全6回のワークショップを行い、仕上げとして10月9日（日）開催の『第18回和歌の浦万葉薪能』の…","10月2日（日）、8日（土）","10月2日（日）小林能舞台10月8日（土）片男波公園野外ステージ","遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10999"
"熊野川水系鮎漁解禁","熊野川本流と大塔川、四村川、三越川、赤木川、高田川の支流で鮎漁が解禁されます。＊組合員以外は年券もしくは一日券が必要","実施中～12月31日（土）","","","田辺市・新宮市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10973"
"古座川水系鮎漁解禁","古座川本流（河口より七川ダム堰堤まで）と、小川、佐本川、三尾川の各支流で鮎漁が解禁されます。＊組合員以外は年券もしくは一日券が必要","実施中～12月31日（土）","","","古座川本流および各支流","https://www.wakayama-kanko.or.jp/event/detail.php?id=10975"
"吉宗将軍就任300年記念　忍者イベント　和歌山城で忍者修行","吉宗公将軍就任300年を記念して、二の丸広場付近にて、忍者衣装の貸出と手裏剣投げなどの忍者修行体験を実施します。","10月1日（土）～12月24日（土）　＊土・日・祝","わかやま歴史館南側芝生広場","遊び・体験","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10983"
"弁慶市","鬪?神社の馬場にて地場産品を格安で販売する月1回の朝市で朝早くから賑わいます。","通年（毎月第3日曜日）","鬪?神社","お土産・逸品 / 食べる","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10955"
"田辺のうまい昼ご飯あがら丼2016","「お昼も田辺らしい食事をしたい！」という観光客の皆様からの御希望にお応えし、期間限定のオリジナル丼を市内の店舗にて提供致します。","実施中～平成29年3月31日（金）","田辺市内","食べる / お土産・逸品","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10972"
"ツーギー谷のお花畑","ストローベイルハウス周辺に、地域の方々が大切に育てたバーベナなど様々な種類のお花が咲きます。","実施中～10月上旬","猪谷地区","観る / 遊び・体験","広川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10967"
"和歌浦漁港　おっとっと広場","和歌浦湾で獲れる「わかしらす」など新鮮な魚介類や水産加工品を直販価格で販売する販売ブースがあります。","通年（毎週土・日・祝）","和歌浦漁港おっとっと広場","食べる / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10952"
"雑賀崎漁港　船からの直接販売","和歌山市南西部に位置する底引き網漁が盛んな雑賀崎漁港。獲れたての魚介類が船上から直接販売されます。","通年（火・土・祝前日休み）※それ以外も中止の場合あり（要問合せ）","雑賀崎漁港","お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10953"
"熊野曼陀羅絵解き","地元ガイドが世界遺産となった熊野と熊野古道の魅力をわかりやすく、また興味深く絵解き（解説）します。＊開催時間は天候により変動あり・雨天中止","＊毎週土・日の開催","川原家横丁","世界遺産 / 世界遺産","新宮市","https://www.wakayama-kanko.or.jp/event/detail.php?id=10956"
"勝浦漁港にぎわい広場","足湯「海乃湯」の周辺にて毎週日曜日に開催。勝浦の生マグロなど地場産品の販売を行っています。","通年　＊毎日曜日開催　臨時開催：10/10","勝浦漁港","お土産・逸品 / 食べる","那智勝浦町","https://www.wakayama-kanko.or.jp/event/detail.php?id=10957"
"田辺まち中散策","文化香る城下町田辺を散策します。世界的博物学者南方熊楠や合気道の創始者植芝盛平、武蔵坊弁慶のゆかりの場所をはじめ、ナショナルトラスト運動発祥の地天神崎や扇ヶ浜な…","通年","田辺市街地ほか","観る / 遊び・体験","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=134"
"田辺のうまい昼ご飯あがら丼","地元の食材を使ったオリジナル丼を、市内の協力店舗にて提供しています。 田辺観光協会HPにて店舗紹介中。","通年","田辺市内","食べる","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=139"
