"概要","説明","開催期間","開催地","目的","エリア","詳細URL"
"神谷徹さんのストロー楽器コンサート","市販のストローでユニークなストロー楽器を作り演奏する神谷徹さんによる魅力満載のコンサートです。大人も子供も世代を問わず誰にでも楽しめる、驚きと笑いにあふれた愉快…","11月23日（祝・土）","和歌山県植物公園緑花センター","観る / 観る","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18393"
"有田中央髙等学校文化祭・品評会","学校創立から、一度も途切れることなく続いている伝統行事で、今年で113回目を迎えます。出品された優れた農産物の顕彰や学校農場農産物の即売、PTAバザー、懐かしの…","11月23日(祝・土)","県立有田中央高等学校","遊び・体験","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18394"
"岡の獅子舞","（和歌山県指定無形文化財）八上神社の例祭で奉納される獅子舞。神社では、稚児（女児）おばなち奉納も行われ、幣の舞・剣の舞など多種多様な舞が奉納されます。","11月23日（祝・土）","所：八上神社","観る","上富田町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18395"
"万呂の獅子舞（万呂須佐神社例祭）","(田辺市指定無形民俗文化財)万呂須佐神社の祭礼に奉納される獅子舞は、寝獅子や花の舞に登場する天狗がハナという竹の幣、お多福が陽物型の棒を持つのが特色で、両者が獅…","11月23日（祝・土）","万呂須佐神社","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18396"
"翔龍祭","毎年行われる林業・産業等の祭典。物産販売のほか音楽ライブ等様々な催しものが有ります。","林業まつり：11月23日(祝・土)、24日(日)　文化祭：23日（祝・土）～30日（土）","龍神市民センター","観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18397"
"世界遺産登録15周年記念 熊野古道大辺路ウォーク","「海・温泉・鬪?神社」等各コースによって、熊野古道大辺路の魅力を歩きながら楽しむウォークイベント。","2月7日(土)","熊野古道大辺路","世界遺産","田辺市・白浜町・上富田町・すさみ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18478"
"紀美野町農林商工まつり　","地元の「おいしいもん」ブースや、毎年大人気の特産品の柿販売、餅まきや柿種飛ばし等、楽しいイベントが盛りだくさんです。農産物の展示販売や入札も行われます。＊上記イ…","11月24日（日）","紀美野町文化センター(木の温もり広場)","遊び・体験","紀美野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18398"
"パンステージ＆ハンドメイド作品展示即売会","パンステージでは、和歌山・大阪・奈良・兵庫等から人気のパン屋さんが集まり、各店自慢のこだわり溢れるパンが、会場を賑わせます！ハンドメイド作品展示即売会は作品数3…","11月24日（日）","和歌山県植物公園緑花センター","観る / お土産・逸品","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18399"
"産業まつり＆食育フェア","農産物品評会や直売コーナー、食育体験のほか、お笑いや音楽ライブなどさまざまなイベントを開催します。","11月24日（日）","貴志川体育館・駐車場、貴志川生涯学習センター","遊び・体験 / 観る","紀の川市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18400"
"軽トラ市＆みはまマルシェ","消費者・生産者・商工業者の交流を深め、地域活性化を目的とした軽トラ市では、鮮魚や野菜、果物等等様々な特産品を販売します。また、みはまマルシェでは模擬店が多数出店…","11月24日(日)","美浜町煙樹海岸キャンプ場及び、煙樹海岸多目的広場周辺","お土産・逸品 / 食べる","美浜町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18401"
"安川渓谷トレッキング","秋の紅葉と美しい渓谷を楽しみながらトレッキングをします。","11月24日（日）","安川渓谷（集合場所：大塔行政局）","遊び・体験 / 観る","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18402"
"自然観察会","インストラクターと一緒に季節の里山の魅力を探しましょう。","11月30日（土）","和歌山県立森林公園根来山げんきの森","遊び・体験 / 観る","岩出市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18404"
"和歌山レザーフェスティバル","皮革製品の展示即売会が開かれ、高品質の皮革製品が安く販売されます。","11月30日（土）、12月1日（日）","中央コミュニティーセンター","観る / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18405"
"和歌山レザーフェスティバル","皮革製品の展示即売会が開かれ、高品質の皮革製品が安く販売されます。","～12月1日（日）","中央コミュニティーセンター","お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18457"
"「押し花展～万葉の世界から未来へ」","万葉の花～現在に至る押し花を使用し、自由に表現した作品（約28点）を展示。長期間退色しにくい特殊な技法で制作しています。ぜひご覧ください。","～1月19日（日）","片男波公園万葉館","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18456"
"西国第２番札所金剛宝寺（紀三井寺）","紀三井寺書院（紀州徳川家歴代藩主御成御殿）特別拝観を行います。","～11月24日（日）までの日・祝日","紀三井寺","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18294"
"七五三詣","七五三詣","～11月30日(土)","伊勢部柿本神社","観る","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18296"
"世界遺産登録15周年記念　令和元年度秋期企画展「祈りのかたち-密教法具の世界-」","「密教法具」とは、僧侶が修法や仏事などの場面において、祈りを成就するために用いる仏具です。　密教法具の中には、古代インドで武器として用いられていたものが、祈りの…","～1月13日（祝・月）※12月28日（土）～1月4日（土）は休館","高野山霊宝館","世界遺産 / 観る","伊都郡高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18297"
"世界遺産登録15周年記念　令和元年度秋期企画展「祈りのかたち-密教法具の世界-」","「密教法具」とは、僧侶が修法や仏事などの場面において、祈りを成就するために用いる仏具です。　密教法具の中には、古代インドで武器として用いられていたものが、祈りの…","～1月13日（祝・月）※12月28日（土）～1月4日（土）は休館","高野山霊宝館","世界遺産 / 観る","高野町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18458"
"いせえび味覚まつり","すさみの荒磯で育った絶品のイセエビをご賞味ください。","～2月29日（土）","すさみ町観光協会加盟店・宿泊施設","食べる / お土産・逸品","すさみ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18304"
"いせえび味覚まつり","すさみの荒磯で育った絶品のイセエビをご賞味ください。","～2月29日（土）","すさみ町観光協会加盟店・宿泊施設","食べる / お土産・逸品","すさみ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18465"
"鮎網入れ (二川ダム上流域)","清流「有田川」の（二川ダムからかつらぎ町花園までの上流域）鮎網入れの解禁。詳しくは有田川漁協ＨＰでご確認ください。","～12月31日（火）","有田川町内各地","遊び・体験","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18300"
"鮎網入れ (二川ダム上流域)","清流「有田川」の（二川ダムからかつらぎ町花園までの上流域）鮎網入れの解禁。詳しくは有田川漁協ＨＰでご確認ください。","～12月31日（火）","有田川町内各地","遊び・体験","有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18460"
"みなべスタンプラリー","みなべ町の観光施設や飲食店、温泉施設などをお得に楽しく巡って、スタンプを集めよう！A賞はスタンプ７個以上で絶景温泉ペア宿泊券が当たる！スマホ・タブレットでもスタ…","～3月8日（日）","みなべ町","","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18302"
"みなべスタンプラリー","みなべ町の観光施設や飲食店、温泉施設などをお得に楽しく巡って、スタンプを集めよう！A賞はスタンプ７個以上で絶景温泉ペア宿泊券が当たる！スマホ・タブレットでもスタ…","～3月8日（日）","みなべ町","","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18462"
"熊野川水系鮎漁解禁","熊野川本流と大塔川、四村川、三越川、赤木川、高田川の支流で鮎漁が解禁されます。＊組合員以外は年券もしくは一日券が必要","～12月31日（火）","","","田辺市・新宮市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18306"
"熊野川水系鮎漁解禁","熊野川本流と大塔川、四村川、三越川、赤木川、高田川の支流で鮎漁が解禁されます。＊組合員以外は年券もしくは一日券が必要","～12月31日（火）","","","田辺市・新宮市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18464"
"古座川水系鮎漁解禁","古座川本流（河口より七川ダム堰堤まで）と、小川、佐本川、三尾川の各支流で鮎漁が解禁されます。＊組合員以外は年券もしくは一日券が必要","～12月31日（火）","","","古座川町、すさみ町、串本町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18466"
"特別展「ふるさと写真館」－海南の歩みを訪ねてー","元号が新しく変わる今年、かつての海南の風景写真[約200枚]を通して、懐かしく当時を振り返りながら、街の移り変わりを再認識したり、先人の願いや努力を感じたりする…","～3月29日（日）※月・火及び12/29～1/3は休館日","海南市歴史民俗資料館","観る","海南市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18295"
"鮎釣り","清流「有田川」の鮎友釣りの解禁。＊詳細はお問い合わせ下さい。","～12月31日（火）","有田市・有田川町内各地","遊び・体験","有田市・有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18298"
"鮎釣り","清流「有田川」の鮎友釣りの解禁。＊詳細はお問い合わせ下さい。","～12月31日（火）","有田市・有田川町内各地","遊び・体験","有田市・有田川町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18459"
"みなべフォトコンテスト","みなべ町の「きれい」「かわいい」「おもしろい」写真を投稿しよう！みなべ観光協会アカウント「@minabe_kanko」をフォローして「＃フォトコンみなべ」をつけ…","～3月31日（火）","みなべ町","","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18301"
"田辺のうまい昼ご飯あがら丼2019","「お昼も田辺らしい食事をしたい！」という観光客の皆様からの御希望にお応えし、期間限定のオリジナル丼を市内の店舗にて提供致します。","～3月31日(火）","田辺市内","食べる / お土産・逸品","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18303"
"市堀川イルミネーション","江戸時代に城下町として栄えた京橋プロムナードや中橋、市堀川両岸にイルミネーションが施され、ロマンチックな雰囲気に包まれます。きらめく遊歩道でぜひ夜の散策をお楽し…","通年点灯","京橋プロムナード、中橋、市堀川両岸","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18449"
"弁慶市","鬪?神社の馬場にて地場産品を格安で販売する月1回の朝市で朝早くから賑わいます。","通年（毎月第3日曜日）","鬪?神社","お土産・逸品 / 食べる","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18451"
"みなべフォトコンテスト","みなべ町の「きれい」「かわいい」「おもしろい」写真を投稿しよう！みなべ観光協会アカウント「@minabe_kanko」をフォローして「＃フォトコンみなべ」をつけ…","～3月31日（火）","みなべ町","","みなべ町","https://www.wakayama-kanko.or.jp/event/detail.php?id=18461"
"田辺のうまい昼ご飯あがら丼2019","「お昼も田辺らしい食事をしたい！」という観光客の皆様からの御希望にお応えし、期間限定のオリジナル丼を市内の店舗にて提供致します。","～3月31日(火）","田辺市内","食べる / お土産・逸品","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18463"
"市堀川イルミネーション","京橋プロムナード周辺や市堀川両岸が、約5万球のイルミネーションで照らされます。昼と違う雰囲気のまちなかを楽むことができます。","通年点灯","市堀川（京橋～中橋）","観る","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18589"
"弁慶市","鬪?神社の馬場にて地場産品を格安で販売する月1回の朝市で朝早くから賑わいます。","通年（毎月第3日曜日）","鬪?神社","お土産・逸品 / 食べる","田辺市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18593"
"熊野曼荼羅絵解き","地元ガイドが、世界遺産となった熊野と熊野古道の魅力をわかりやすく、また興味深く絵解き（解説）します。＊開催時間は天候により変動あり・雨天中止","毎週土・日及び祝の開催","川原家横丁","世界遺産","新宮市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18452"
"熊野曼荼羅絵解き","地元ガイドが、世界遺産となった熊野と熊野古道の魅力をわかりやすく、また興味深く絵解き（解説）します。＊開催時間は天候により変動あり・雨天中止","毎週土・日及び祝の開催　＊神倉神社臨時開催1月1日（祝・水）～3日（金）","川原家横丁神倉神社","世界遺産","新宮市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18594"
"和歌浦漁港　おっとっと広場","和歌浦湾で獲れる「わかしらす」など新鮮な魚介類や水産加工品を直販価格で販売する販売ブースがあります。","通年（毎週土・日・祝）　＊臨時開催12/28（土）～30（月）、年始1/18（土）～","和歌浦漁港おっとっと広場","食べる / お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18590"
"雑賀崎漁港　船からの直接販売","和歌山市南西部に位置する底引き網漁が盛んな雑賀崎漁港。獲れたての魚介類が船上から直接販売されます。","通年（火・土・祝前日休み）※それ以外も中止の場合あり（要問合せ）","雑賀崎漁港","お土産・逸品","和歌山市","https://www.wakayama-kanko.or.jp/event/detail.php?id=18591"
